App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
Pixel Music Player 4,MEDICAL,4.8,35,19M,500+,Free,0,Everyone,Medical,"December 11, 2015",1.17.1,4.1 and up
Bright Calendar,FAMILY,4.1,642,11M,"50,000+",Free,0,Everyone,Casual,"February 4, 2015",3.19.8,Varies with device
Happy Chess,SOCIAL,4.2,151,10M,"10,000+",Free,0,Everyone,Social,"November 14, 2017",5.8.0,5.0 and up
Mini Calendar,SHOPPING,3.6,160,Varies with device,"10,000+",Free,0,Everyone,Shopping,"October 17, 2017",5.16.5,4.1 and up
Pocket Translator,LIFESTYLE,4.4,756,41M,"50,000+",Free,0,Everyone,Lifestyle,"August 30, 2016",3.18.5,4.4 and up
Pro Puzzle,PHOTOGRAPHY,4.1,9826,6.2M,"500,000+",Free,0,Everyone,Photography,"July 29, 2017",3.1.5,4.4 and up
Ultimate Flashlight,TRAVEL_AND_LOCAL,3.9,60,6.0M,"5,000+",Free,0,Everyone,Travel & Local,"December 4, 2016",2.3.7,4.4 and up
Bright Coloring Book 13,MEDICAL,5.0,855,16M,"50,000+",Free,0,Everyone,Medical,"October 25, 2016",1.12.6,4.0.3 and up
Tiny Photo Editor,TOOLS,3.6,38637,29M,"5,000,000+",Free,0,Everyone,Tools,"May 10, 2016",6.17.8,4.0.3 and up
Ultimate Music Player,GAME,4.7,21848,13M,"1,000,000+",Free,0,Teen,Action,"June 15, 2017",1.7.3,5.0 and up
Simple Bible 2,BOOKS_AND_REFERENCE,4.3,314,3.3M,"5,000+",Free,0,Everyone,Books & Reference,"May 21, 2018",7.14.5,Varies with device
Magic Puzzle,BUSINESS,4.6,177,22M,"5,000+",Free,0,Everyone,Business,"November 14, 2017",2.0.9,4.1 and up
Easy Budget,FAMILY,4.7,54k,34M,"5,000,000+",Free,0,Everyone,Casual,"October 31, 2017",3.14.8,4.1 and up
Pixel Bible 13,MEDICAL,4.6,16553,14M,"500,000+",Paid,$4.99,Everyone,Medical,,3.18.5,Varies with device
Secure Workout,TRAVEL_AND_LOCAL,,28,2.4M,"1,000+",Free,0,Everyone,Travel & Local,"October 30, 2016",2.19.3,4.0.3 and up
Star Notes,ART_AND_DESIGN,4.0,15.5k,29M,"1,000,000+",Free,0,Everyone,Art & Design,"March 7, 2018",7.19.4,4.4 and up
Quick Bible,BOOKS_AND_REFERENCE,4.9,29041,Varies with device,"1,000,000+",Free,0,Everyone,Books & Reference,"May 15, 2017",5.5.7,4.0.3 and up
Magic Scanner,SOCIAL,4.5,1633,Varies with device,"100,000+",Free,0,Everyone,Social,"October 13, 2016",Varies with device,4.0.3 and up
Magic Wallpapers,HEALTH_AND_FITNESS,,6,Varies with device,500+,Free,0,Teen,Health & Fitness,"June 7, 2018",1.6.4,5.0 and up
Tiny Keyboard 17,GAME,,3915,191k,"100,000+",Paid,$9.99,Everyone,Action,"April 12, 2018",4.11.2,4.1 and up
Free Coloring Book 18,ENTERTAINMENT,3.4,96,225k,"5,000+",Free,0,Mature 17+,Entertainment,"April 13, 2017",4.9.9,5.0 and up
Smart Photo Editor,SPORTS,4.6,150,Varies with device,"5,000+",Free,0,Everyone,Sports,"November 28, 2017",7.11.9,4.4 and up
Cool Dictionary,HEALTH_AND_FITNESS,3.7,675,8.4M,"10,000+",Free,0,Everyone,Health & Fitness,"April 17, 2018",2.5.7,4.4 and up
Free Bible 17,ART_AND_DESIGN,4.3,19652,6.4M,"1,000,000+",Free,0,Everyone,Art & Design,"July 28, 2017",6.16.9,4.0.3 and up
Bright Scanner,COMMUNICATION,4.1,136,2.1M,"5,000+",Free,0,Teen,Communication,"May 1, 2018",4.18.1,4.0.3 and up
Bright Keyboard,HEALTH_AND_FITNESS,3.9,102,24M,"5,000+",Free,0,Everyone,Health & Fitness,"September 9, 2017",7.1.4,5.0 and up
Smart Scanner,SOCIAL,4.1,29,8.0M,"1,000+",Free,0,Everyone 10+,Social,"October 29, 2015",4.11.0,5.0 and up
Magic Bible,PHOTOGRAPHY,4.0,7,4.9M,50+,Free,0,Teen,Photography,"June 4, 2017",3.7.8,Varies with device
Smart Wallpapers 10,MEDICAL,4.5,106,15M,"5,000+",Free,0,Everyone,Medical,"July 13, 2017",2.0.2,Varies with device
Magic Recipes,FINANCE,4.4,16177,17M,"500,000+",Free,0,Everyone,Finance,"July 9, 2018",7.14.6,4.1 and up
Secure Messenger 15,HEALTH_AND_FITNESS,4.2,395,21M,"50,000+",Free,0,Everyone,Health & Fitness,"November 13, 2017",1.12.7,4.1 and up
Secure Notes,TRAVEL_AND_LOCAL,4.4,37153,33M,"1,000,000+",Free,0,Everyone,Travel & Local,"October 28, 2016",8.5.8,4.1 and up
Simple Maps,EDUCATION,4.7,84,Varies with device,"5,000+",Free,0,Everyone,Education,"October 5, 2016",4.19.6,4.0.3 and up
Easy Weather,SHOPPING,3.2,66,27M,"5,000+",Free,0,Everyone,Shopping,"May 25, 2018",8.10.4,4.1 and up
Super Bible,PRODUCTIVITY,4.4,114,15M,"5,000+",Free,0,Teen,Productivity,"June 15, 2014",3.8.5,4.0.3 and up
Pocket Budget,TRAVEL_AND_LOCAL,3.8,78,19M,"5,000+",Free,0,Everyone,Travel & Local,"April 17, 2016",8.14.8,4.1 and up
Simple Translator 9,SHOPPING,3.5,6.7k,41M,"500,000+",Free,0,Everyone,Shopping,"April 10, 2018",6.4.6,4.1 and up
Secure Radio 15,BUSINESS,3.6,6k,99M,"100,000+",Free,0,Everyone,Business,"September 2, 2017",4.7.0,4.1 and up
Pro Notes,ENTERTAINMENT,4.3,37,28M,"5,000+",Free,0,Everyone,Entertainment,"January 24, 2018",5.5.5,5.0 and up
Bright Maps,SPORTS,4.6,782,6.1M,"50,000+",Free,0,Everyone,Sports,"June 12, 2017",4.2.5,4.0.3 and up
Pixel Radio,PHOTOGRAPHY,3.4,4,Varies with device,100+,Free,0,Everyone,Photography,"July 17, 2018",5.1.6,4.1 and up
Ultimate VPN,MEDICAL,4.5,10002,9.1M,"500,000+",Free,0,Everyone,Medical,"September 24, 2017",7.14.0,5.0 and up
Cool Coloring Book,SOCIAL,4.4,149,13M,"5,000+",Free,0,Everyone,Social,"August 19, 2017",7.6.4,4.0.3 and up
Easy Scanner,ART_AND_DESIGN,3.6,49,18M,"1,000+",Free,0,Everyone,Art & Design,"July 20, 2018",6.14.1,Varies with device
Mini Budget,FAMILY,3.7,1.3M,3.4M,"50,000,000+",Free,0,Everyone,Casual,"August 26, 2016",Varies with device,4.0.3 and up
Magic Weather 4,FINANCE,3.5,178,40M,"5,000+",Free,0,Everyone,Finance,"May 11, 2016",8.10.2,4.0.3 and up
