listing_id,listed_on,zip,bedrooms,sqft,rent,distance_to_campus_m,days_on_market,description,pet_deposit,rating,price_change
L100000,2026-01-01 00:00,15223,2.0,582.0,"$1,824",5464.0,11,"Bright 4-bedroom apartment on Liberty Ave, unit 92, close to buses, laundry in building, cats only.",,4.1,16.0
L100001,2026-01-01 07:00,15217,3.0,1050.0,"$1,413",3473.0,10,"Bright 3-bedroom apartment on Liberty Ave, unit 192, close to buses, laundry in building, no pets.",,3.7,12.0
L100002,2026-01-01 14:00,15206,1.0,407.0,"$1,663",2288.0,15,"Bright 2-bedroom apartment on Penn Ave, unit 85, close to buses, laundry in building, pets ok.",,4.2,23.0
L100003,2026-01-01 21:00,15201,1.0,986.0,"$1,464",2307.0,8,"Bright 2-bedroom apartment on Penn Ave, unit 171, close to buses, laundry in building, cats only.",200.0,4.5,25.0
L100004,2026-01-02 04:00,15206,2.0,456.0,"$1,162",919.0,20,"Bright 2-bedroom apartment on Liberty Ave, unit 14, close to buses, laundry in building, pets ok.",,3.9,16.0
L100005,2026-01-02 11:00,15223,3.0,85000.0,"$1,845",452.0,13,"Bright 3-bedroom apartment on Penn Ave, unit 196, close to buses, laundry in building, no pets.",,4.7,27.0
L100006,2026-01-02 18:00,15227,4.0,1011.0,"$1,085",6111.0,16,"Bright 1-bedroom apartment on Liberty Ave, unit 199, close to buses, laundry in building, pets ok.",,4.4,20.0
L100007,2026-01-03 01:00,15216,1.0,748.0,"$1,502",1040.0,12,"Bright 3-bedroom apartment on Liberty Ave, unit 300, close to buses, laundry in building, pets ok.",,4.0,19.0
L100008,2026-01-03 08:00,15213,2.0,651.0,"$2,095",4416.0,23,"Bright 3-bedroom apartment on Liberty Ave, unit 19, close to buses, laundry in building, cats only.",,4.2,21.0
L100009,2026-01-03 15:00,15232,3.0,739.0,"$1,063",688.0,9,"Bright 2-bedroom apartment on Forbes Ave, unit 14, close to buses, laundry in building, no pets.",300.0,4.0,12.0
L100010,2026-01-03 22:00,15208,0.0,966.0,"$1,478",2887.0,13,"Bright 3-bedroom apartment on Walnut St, unit 260, close to buses, laundry in building, no pets.",200.0,3.8,-40.0
L100011,2026-01-04 05:00,15210,2.0,836.0,$866,3259.0,9,"Bright 1-bedroom apartment on Walnut St, unit 387, close to buses, laundry in building, cats only.",,4.6,18.0
L100012,2026-01-04 12:00,15218,1.0,843.0,"$1,296",3211.0,7,"Bright 4-bedroom apartment on Liberty Ave, unit 108, close to buses, laundry in building, cats only.",,4.6,14.0
L100013,2026-01-04 19:00,15212,3.0,1114.0,$902,2101.0,11,"Bright 1-bedroom apartment on Forbes Ave, unit 369, close to buses, laundry in building, no pets.",,4.0,19.0
L100014,2026-01-05 02:00,15201,3.0,671.0,"$1,355",4520.0,11,"Bright 2-bedroom apartment on Craig St, unit 285, close to buses, laundry in building, cats only.",,4.1,19.0
L100015,2026-01-05 09:00,15206,2.0,732.0,"$1,285",561.0,14,"Bright 2-bedroom apartment on Walnut St, unit 288, close to buses, laundry in building, pets ok.",,4.1,7.0
L100016,2026-01-05 16:00,15220,0.0,719.0,"$1,553",5489.0,9,"Bright 2-bedroom apartment on Liberty Ave, unit 177, close to buses, laundry in building, cats only.",,4.5,15.0
L100017,2026-01-05 23:00,15221,0.0,1142.0,"$2,134",5314.0,13,"Bright 4-bedroom apartment on Liberty Ave, unit 219, close to buses, laundry in building, no pets.",,4.8,22.0
L100018,2026-01-06 06:00,15213,1.0,1098.0,"$1,613",1396.0,10,"Bright 2-bedroom apartment on Liberty Ave, unit 335, close to buses, laundry in building, no pets.",200.0,3.9,8.0
L100019,2026-01-06 13:00,15232,3.0,1172.0,"$1,763",2481.0,9,"Bright 3-bedroom apartment on Murray Ave, unit 302, close to buses, laundry in building, cats only.",,4.3,18.0
L100020,2026-01-06 20:00,15210,1.0,842.0,"$1,480",2505.0,8,"Bright 1-bedroom apartment on Craig St, unit 160, close to buses, laundry in building, no pets.",,4.2,13.0
L100021,2026-01-07 03:00,15203,2.0,811.0,"$1,402",1087.0,15,"Bright 2-bedroom apartment on Forbes Ave, unit 324, close to buses, laundry in building, pets ok.",,4.4,10.0
L100022,2026-01-07 10:00,15227,1.0,1063.0,"$1,166",5628.0,14,"Bright 4-bedroom apartment on Forbes Ave, unit 55, close to buses, laundry in building, no pets.",300.0,4.8,25.0
L100023,2026-01-07 17:00,15215,1.0,751.0,$780,5192.0,4,"Bright 1-bedroom apartment on Penn Ave, unit 273, close to buses, laundry in building, cats only.",200.0,3.8,25.0
L100024,2026-01-08 00:00,15210,2.0,1058.0,"$1,527",3409.0,16,"Bright 1-bedroom apartment on Walnut St, unit 301, close to buses, laundry in building, pets ok.",200.0,3.4,17.0
L100025,2026-01-08 07:00,15210,1.0,1031.0,"$2,152",1865.0,12,"Bright 2-bedroom apartment on Penn Ave, unit 382, close to buses, laundry in building, pets ok.",300.0,4.1,17.0
L100026,2026-01-08 14:00,15219,1.0,675.0,"$1,691",1711.0,15,"Bright 1-bedroom apartment on Liberty Ave, unit 244, close to buses, laundry in building, pets ok.",,3.6,26.0
L100027,2026-01-08 21:00,15216,3.0,829.0,"$1,286",4162.0,11,"Bright 3-bedroom apartment on Liberty Ave, unit 136, close to buses, laundry in building, pets ok.",,4.9,25.0
L100028,2026-01-09 04:00,15206,2.0,820.0,"$2,160",3446.0,10,"Bright 4-bedroom apartment on Liberty Ave, unit 187, close to buses, laundry in building, no pets.",,3.9,19.0
L100029,2026-01-09 11:00,15221,3.0,1283.0,"$1,327",2683.0,13,"Bright 3-bedroom apartment on Walnut St, unit 320, close to buses, laundry in building, no pets.",,4.1,24.0
L100030,2026-01-09 18:00,15221,2.0,1497.0,"$1,252",4770.0,13,"Bright 4-bedroom apartment on Penn Ave, unit 37, close to buses, laundry in building, cats only.",,4.3,20.0
